1,Chocolate Cake
2,Lemon Cake
3,Casino Cake
4,Opera Cake
5,Strawberry Cake
6,Truffle Cake
7,Chocolate Eclair
8,Coffee Eclair
9,Vanilla Eclair
10,Napoleon Cake
11,Almond Tart
12,Apple Pie
13,Apple Tart
14,Apricot Tart
15,Berry Tart
16,Blackberry Tart
17,Blueberry Tart
18,Chocolate Tart
19,Cherry Tart
20,Lemon Tart
21,Pecan Tart
22,Ganache Cookie
23,Gongolais Cookie
24,Raspberry Cookie
25,Lemon Cookie
26,Chocolate Meringue
27,Vanilla Meringue
28,Marzipan Cookie
29,Tuile Cookie
30,Walnut Cookie
31,Almond Croissant
32,Apple Croissant
33,Apricot Croissant
34,Cheese Croissant
35,Chocolate Croissant
36,Apricot Danish
37,Apple Danish
38,Almond Twist
39,Almond Bear Claw
40,Blueberry Danish
41,Lemon Lemonade
42,Raspberry Lemonade
43,Orange Juice
44,Green Tea
45,Bottled Water
46,Hot Coffee
47,Chocolate Coffee
48,Vanilla Frappuccino
49,Cherry Soda
50,Single Espresso
