Driver,Races,Wins,T5,T10,Poles,LapsComp,LapsLed,AvgStart,AvgFinish,RAF,Miles,LLF,Points,Diff,PlayoffPts
   Joey Logano,36,3,13,26,1,9826,934,9.8,10.7,33,13015.34,30,5040,,15
"   Martin Truex, Jr.",36,4,20,21,4,9760,1016,9.9,10.7,31,12987.83,30,5035,-5,30
   Kevin Harvick,36,8,23,29,4,9691,1990,8.8,8.8,32,12790.14,31,5034,-6,51
   Kyle Busch,36,8,22,28,4,10001,1469,7.4,8.3,33,13319.36,31,5033,-7,46
   Aric Almirola,36,1,4,17,0,10003,181,15.6,12.8,34,13424.76,27,2354,"-2,686",6
   Chase Elliott,36,3,11,21,1,9850,325,11.1,12.2,32,12947.08,25,2350,"-2,690",19
   Kurt Busch,36,1,6,22,5,9992,644,8.8,12.1,32,13255,26,2350,"-2,690",8
   Brad Keselowski,36,3,12,20,0,9788,705,10.3,13.4,30,12763.11,27,2343,"-2,697",20
   Kyle Larson,36,0,12,19,3,9768,782,12.8,12.6,32,12940.1,29,2299,"-2,741",4
   Ryan Blaney,36,1,8,16,3,9525,660,9.4,14.8,31,12945.56,27,2298,"-2,742",11
   Denny Hamlin,36,0,10,17,4,9926,380,10.3,12.6,32,13127.85,27,2285,"-2,755",3
   Clint Bowyer,36,2,9,16,0,9911,490,13.7,13.8,30,13325.04,23,2272,"-2,768",11
   Austin Dillon,36,1,2,8,0,9993,23,18.8,17.5,33,13312.85,20,2245,"-2,795",5
   Jimmie Johnson,36,0,2,11,0,9764,40,19.2,16.7,32,12884.26,23,2242,"-2,798",0
   Erik Jones,36,1,9,18,1,9836,99,10.6,14,33,12850.7,24,2220,"-2,820",5
   Alex Bowman,36,0,3,11,1,9977,71,13.1,17,33,13327.97,21,2204,"-2,836",0
   Ryan Newman,36,0,0,9,0,10077,57,15.4,17.2,33,13521.83,21,769,"-4,271",0
"   Ricky Stenhouse, Jr.",36,0,3,5,0,10076,133,14.8,19.4,30,13489.12,17,701,"-4,339",2
   Paul Menard,36,0,1,7,1,9410,14,17.2,19.4,31,12982.78,15,692,"-4,348",1
   Jamie McMurray,36,0,2,8,0,9799,9,18.1,18.9,31,12973.62,17,683,"-4,357",0
   Daniel Suarez,36,0,3,9,1,9682,35,17.4,18.5,33,12740.38,18,674,"-4,366",0
   A.J. Allmendinger,36,0,1,5,0,9214,19,22.1,21.2,30,12645.19,12,603,"-4,437",1
   William Byron,36,0,0,4,0,9352,61,17.7,22.1,27,12396.47,13,587,"-4,453",0
   Chris Buescher,36,0,2,2,0,9759,1,21.6,21,33,13347.85,13,585,"-4,455",0
   David Ragan,36,0,0,1,0,9882,0,24.2,22.9,34,13030.63,8,524,"-4,516",0
   Michael McDowell,36,0,0,1,0,8964,33,23,24.5,30,12693.53,8,493,"-4,547",0
   Ty Dillon,36,0,0,1,0,9871,3,27.2,24.1,32,13031.91,11,482,"-4,558",0
   Bubba Wallace,36,0,1,3,0,9391,19,24.8,24.5,30,12797.06,6,471,"-4,569",0
   Matt DiBenedetto,36,0,0,1,0,9610,8,29.1,27,29,12733.37,6,368,"-4,672",0
   Kasey Kahne,25,0,1,1,0,6584,30,26,22.8,22,9031.2,7,358,"-4,682",0
